Abhish;title$ffworkbench$framework$defaultMainframeTitle;Workbench FORCAM FORCE™
1;title$ffworkbench$invalidInput;Ungültige Eingabe
1;lbl$ffworkbench$parameter;Parameter
1;lbl$ffworkbench$workplace;Arbeitsplatz
1;lbl$ffworkbench$material;Material
1;lbl$ffworkbench$materialNumber;Materialnummer
1;tt$ffworkbench$enterSearchTerm;Suchbegriff eingeben
1;tt$ffworkbench$deleteSearchTerm;Suchbegriff löschen
1;lbl$ffworkbench$filter;Filter
1;lbl$ffworkbench$active;Aktiv
1;tt$ffworkbench$expandAll;Alle erweitern
1;tt$ffworkbench$collapseAll;Alle schliessen
1;tt$ffworkbench$expandNode;Expand node
1;tt$ffworkbench$collapseNode;Collapse node
1;tt$ffworkbench$removeFilter;Entferne Filter
1;lbl$ffworkbench$exclusive;Exklusiv
1;tt$ffworkbench$moveUp;Nach oben verschieben
1;tt$ffworkbench$moveDown;Nach unten verschieben
1;tt$ffworkbench$remove;Entfernen
1;tt$ffworkbench$removeAll;Alle entfernen
1;tt$ffworkbench$add;Hinzufügen
1;tt$ffworkbench$addAll;Alle hinzufügen
1;tt$ffworkbench$insert;Einfügen
1;lbl$ffworkbench$operationType;Auftragsart
1;lbl$ffworkbench$suffixForMultipleSelectedMalfunctionReasons;Statusgründe
1;lbl$ffworkbench$hoursMnemonic;Std
1;lbl$ffworkbench$minutesMnemonic;Min
1;lbl$ffworkbench$secondsMnemonic;Sek
1;lbl$ffworkbench$hoursIdentifier;Stunden
1;lbl$ffworkbench$minutesIdentifier;Minuten
1;lbl$ffworkbench$secondsIdentifier;Sekunden
1;err$ffworkbench$noPagePermission;Sie haben keine Berechtigung diese Seite zu öffnen.
1;tt$ffworkbench$editConfiguration;Konfiguration ändern
1;err$ffworkbench$restrictionValidationNotInRange;Der Wert liegt nicht im zulässigen Bereich zwischen '&1' und '&2'.
1;err$ffworkbench$restrictionValidationInvalidStringLength;Der Wert muss mindestens &1 Zeichen haben und darf maximal &2 Zeichen lang sein.
1;err$ffworkbench$restrictionValidationInputRequired;Ein leerer Wert ist nicht zulässig. Bitte geben Sie einen Wert ein.
1;err$ffworkbench$restrictionValidationSaveError;Speichern nicht erlaubt (fehlender oder nicht zulässiger Wert in Feld '&1').
1;err$ffworkbench$restrictionValidationFieldInvalidInput;Ungültige Eingabe im Feld '&1'.
1;err$ffworkbench$restrictionValidationFieldInvalidStringLength;Der Wert im Feld '&1' muss mindestens &2 Zeichen haben und darf maximal &3 Zeichen lang sein.
1;err$ffworkbench$restrictionValidationFieldNotInRange;Der Wert im Feld '&1' liegt nicht im zulässigen Bereich zwischen '&2' und '&3'.
1;err$ffworkbench$restrictionValidationFieldInputRequired;Ein leerer Wert im Feld '&1' ist nicht zulässig. Bitte geben Sie einen Wert ein.
1;err$ffworkbench$initializeError;Fehler bei der Initialisierung der Seite.
1;lbl$ffworkbench$DatabaseConnectionDialog$databaseConnectionTest;Datenbank-Verbindungstest
1;lbl$ffworkbench$DatabaseConnectionDialog$contactAdministrator;Bitte Datenbank-Administrator kontaktieren
1;lbl$ffworkbench$DatabaseConnectionDialog$checkDatabaseConnection;Prüfe Verbindung zur Datenbank
1;lbl$ffworkbench$factor;Faktor
1;lbl$ffworkbench$unit;Einheit
1;lbl$ffworkbench$unitSEC;Sek
1;lbl$ffworkbench$unitMIN;Min
1;lbl$ffworkbench$unitSTD;Std
1;title$ffworkbench$saveChangesOfLockedResource;Seite bereits geändert
1;msg$ffworkbench$saveChangesOfLockedResource;<b>Die Seite '&1' ist bereits von Benutzer '&2' seit &3 in Bearbeitung.</b><p>ABBRECHEN um das Speichern zu einem späteren Zeitpunkt zu wiederholen.<p/>Wenn Sie dennoch SPEICHERN, könnten Sie Änderungen des anderen Benutzers überschreiben und ggf. sogar inkonsistente Daten entstehen.
1;lbl$ffworkbench$keyWorkplaceUserField1;1
1;lbl$ffworkbench$keyWorkplaceUserField2;2
1;lbl$ffworkbench$keyWorkplaceUserField3;3
1;lbl$ffworkbench$keyWorkplaceUserField4;4
1;lbl$ffworkbench$keyWorkplaceUserField5;5
1;lbl$ffworkbench$keyWorkplaceUserField6;6
1;lbl$ffworkbench$keyWorkplaceUserField7;7
1;lbl$ffworkbench$keyWorkplaceUserField8;8
1;lbl$ffworkbench$keyWorkplaceUserField9;9
1;lbl$ffworkbench$keyWorkplaceUserField10;10
1;lbl$ffworkbench$keyWorkplaceUserField11;11
1;lbl$ffworkbench$keyWorkplaceUserField12;12
1;lbl$ffworkbench$keyWorkplaceUserField13;13
1;lbl$ffworkbench$keyWorkplaceUserField14;14
1;lbl$ffworkbench$keyWorkplaceUserField15;15
1;lbl$ffworkbench$keyWorkplaceUserField16;16
1;lbl$ffworkbench$keyWorkplaceUserField17;17
1;lbl$ffworkbench$keyWorkplaceUserField18;18
1;lbl$ffworkbench$keyWorkplaceUserField19;19
1;lbl$ffworkbench$keyWorkplaceUserField20;20
1;lbl$ffworkbench$keyWorkplaceUserField21;21
1;lbl$ffworkbench$keyWorkplaceUserField22;22
1;lbl$ffworkbench$keyWorkplaceUserField23;23
1;lbl$ffworkbench$keyWorkplaceUserField24;24
1;lbl$ffworkbench$keyWorkplaceUserField25;25
1;lbl$ffworkbench$keyWorkplaceUserField26;26
1;lbl$ffworkbench$keyWorkplaceUserField27;27
1;lbl$ffworkbench$keyWorkplaceUserField28;28
1;lbl$ffworkbench$keyWorkplaceUserField29;29
1;lbl$ffworkbench$keyWorkplaceUserField30;30
1;lbl$ffworkbench$keyWorkplaceUserField31;31
1;lbl$ffworkbench$keyWorkplaceUserField32;32
1;lbl$ffworkbench$keyWorkplaceUserField33;33
1;lbl$ffworkbench$keyWorkplaceUserField34;34
1;lbl$ffworkbench$keyWorkplaceUserField35;35
1;lbl$ffworkbench$keyWorkplaceUserField36;36
1;lbl$ffworkbench$keyWorkplaceUserField37;37
1;lbl$ffworkbench$keyWorkplaceUserField38;38
1;lbl$ffworkbench$keyWorkplaceUserField39;39
1;lbl$ffworkbench$keyWorkplaceUserField40;40
1;lbl$ffworkbench$keyWorkplaceUserField41;41
1;lbl$ffworkbench$keyWorkplaceUserField42;42
1;lbl$ffworkbench$keyWorkplaceUserField43;43
1;lbl$ffworkbench$keyWorkplaceUserField44;44
1;lbl$ffworkbench$keyWorkplaceUserField45;45
1;lbl$ffworkbench$keyWorkplaceUserField46;46
1;lbl$ffworkbench$keyWorkplaceUserField47;47
1;lbl$ffworkbench$keyWorkplaceUserField48;48
1;lbl$ffworkbench$keyWorkplaceUserField49;49
1;lbl$ffworkbench$keyWorkplaceUserField50;50
1;lbl$ffworkbench$materialUser01;RevStd
1;lbl$ffworkbench$materialUser02;Material User 02
1;lbl$ffworkbench$materialUser03;Material User 03
1;lbl$ffworkbench$materialUser04;Material User 04
1;lbl$ffworkbench$materialUser05;Material User 05
1;lbl$ffworkbench$materialUser06;Material User 06
1;lbl$ffworkbench$materialUser07;Material User 07
1;lbl$ffworkbench$materialUser08;Material User 08
1;lbl$ffworkbench$materialUser09;Material User 09
1;lbl$ffworkbench$materialUser10;Material User 10
1;lbl$ffworkbench$logon$terminalLabel;Terminal
1;lbl$ffworkbench$logon$localeLabel;Sprache
1;lbl$ffworkbench$logon$timeZoneLabel;Zeitzone
1;lbl$ffworkbench$logon$userLabel;Benutzer
1;lbl$ffworkbench$logon$passwordLabel;Passwort
1;btn$ffworkbench$logon$logon;Anmelden
1;btn$ffworkbench$logon$logoff;Abmelden
1;err$ffworkbench$logon$noUser;Bitte geben Sie einen Benutzername ein
1;err$ffworkbench$logon$noPassword;Bitte geben Sie ein Passwort ein
1;err$ffworkbench$logon$unknownUser;Logon-Name ist unbekannt. Bitte geben Sie einen existierenden Logon-Name ein
1;err$ffworkbench$logon$wrongPassword;Falsches Passwort. Bitte geben Sie ein korrektes Passwort ein
1;err$ffworkbench$logon$logonFailure;Ungültiger Benutzername. Bitte geben Sie einen korrekten Benutzernamen ein
1;err$ffworkbench$logon$passwordNotChangable;Sie sind nicht dazu berechtigt, das Kennwort zu ändern
1;title$ffworkbench$personConfigurator$persons;Personal
1;err$ffworkbench$personConfigurator$duplicatePerson;Zwei Personen mit derselben Personalnummer
1;err$ffworkbench$personConfigurator$emptyEmployeeNo;Personalnummer darf nicht leer sein.
1;lbl$ffworkbench$terminalconfigurator$terminals;Terminals
1;lbl$ffworkbench$terminalconfigurator$terminalTemplates;Vorlagen
1;lbl$ffworkbench$terminalconfigurator$terminalProfiles;Profile
1;lbl$ffworkbench$terminalconfigurator$terminalConfiguration;Shop Floor Terminal
1;lbl$ffworkbench$terminalconfigurator$columnHeaderLogonPassword;Logon Passwort
1;lbl$ffworkbench$terminalconfigurator$columnHeaderAdminPassword;Admin Passwort
1;lbl$ffworkbench$terminalconfigurator$columnHeaderTerminalProfileReference;Profil
1;lbl$ffworkbench$terminalconfigurator$columnHeaderTerminalTemplateReference;Vorlage
1;lbl$ffworkbench$terminalconfigurator$columnHeaderTerminalTemplateRootBasePage;Einstiegsmaske
1;lbl$ffworkbench$terminalconfigurator$columnHeaderSupportHotKeys;F-Tasten
1;lbl$ffworkbench$terminalconfigurator$columnHeaderSupportTouchInput;Touch Eingabe
1;lbl$ffworkbench$terminalconfigurator$columnHeaderSerialReceiver;Serial Receiver
1;lbl$ffworkbench$terminalconfigurator$columnHeaderSerialPort;Serial Port
1;lbl$ffworkbench$terminalconfigurator$columnHeaderUdpReceiver;Udp Receiver
1;lbl$ffworkbench$terminalconfigurator$columnHeaderUdpPort;Udp Port
1;lbl$ffworkbench$terminalconfigurator$columnHeaderTerminalTemplateEditing;Bearbeiten
1;lbl$ffworkbench$terminalconfigurator$columnHeaderTerminalTemplateBasepages;Basismasken
1;lbl$ffworkbench$terminalconfigurator$columnHeaderReadOnly;Schreibgeschützt
1;lbl$ffworkbench$terminalconfigurator$columnHeaderViewAfterLogon;Einstiegsmaske
1;lbl$ffworkbench$terminalconfigurator$columnHeaderLocale;Sprache
1;lbl$ffworkbench$terminalconfigurator$columnHeaderTimezone;Zeitzone
1;lbl$ffworkbench$terminalconfigurator$columnHeaderLogonWithPwd;Logon mit Passwort
1;lbl$ffworkbench$terminalconfigurator$columnHeaderApplicationExitAllowed;Beenden zulässig
1;lbl$ffworkbench$terminalconfigurator$columnHeaderApplicationExitWithPwd;Beenden mit Passwort
1;lbl$ffworkbench$terminalconfigurator$columnHeaderDirectCall;Direkter Aufruf
1;lbl$ffworkbench$terminalconfigurator$columnHeaderSupportTerminalInfoMsg;Terminal Info Nachrichten
1;title$ffworkbench$terminalconfigurator$rootMaskSelection;Einstiegsmasken Auswahl
1;lbl$ffworkbench$terminalconfigurator$invalid;Ungültig
1;lbl$ffworkbench$terminalconfigurator$changed;Geändert
1;lbl$ffworkbench$terminalconfigurator$suffixForMultipleSelectedWorkplaces;ausgewählte Arbeitsplätze
1;tt$ffworkbench$terminalconfigurator$copyTerminalUrlToClipboard;Kopiere Terminal-URL in Zwischenablage
1;msg$ffworkbench$terminalconfigurator$copiedTerminalUrlToClipboard;Terminal-URL wurde in Zwischenablage kopiert
1;tt$ffworkbench$terminalconfigurator$editTerminalTemplate;Editieren
1;tt$ffworkbench$terminalconfigurator$exportTerminalTemplate;Exportieren
1;tt$ffworkbench$terminalconfigurator$overwriteTerminalTemplate;Importieren (überschreiben)
1;tt$ffworkbench$terminalconfigurator$importMultipleTerminalTemplate;Ein oder mehrere als Neu importieren
1;tt$ffworkbench$terminalconfigurator$exportAllTerminalTemplate;Alle exportieren
1;title$ffworkbench$terminalconfigurator$importOrReplaceAllTerminalTemplate;Importieren von Duplikaten
1;msg$ffworkbench$terminalconfigurator$importOrReplaceAllTerminalTemplate;Sollen beim Importieren bereits vorhandene Templates überschrieben werden?
1;lbl$ffworkbench$terminalconfigurator$terminalMessagingConfiguration;IP-Adresse konfigurieren
1;lbl$ffworkbench$cfgName$TerminalMessagingIpAdress;IP-Adresse
1;btn$ffworkbench$webtouchConfigurationImportExporter$export;Exportieren...
1;btn$ffworkbench$webtouchConfigurationImportExporter$import;Importieren...
1;lbl$ffworkbench$webtouchConfigurationImportExporter$replaceConfiguration;Ersetze vorhandene Konfiguration
1;lbl$ffworkbench$webtouchConfigurationImportExporter$ConfigurationImportExport;Shop Floor Terminal Konfiguration Import + Export
1;lbl$ffworkbench$workplaceConfigurator$workplaceName;Arbeitsplatzname
1;lbl$ffworkbench$workplaceConfigurator$workplaceDescription;Arbeitsplatzbeschreibung
1;lbl$ffworkbench$workplaceConfigurator$machineName;Maschinenname
1;lbl$ffworkbench$workplaceConfigurator$machineDescription;Maschinenbeschreibung
1;lbl$ffworkbench$workplaceConfigurator$workplaceTableConfiguration;Arbeitsplatz-Spaltenkonfiguration
1;lbl$ffworkbench$workplaceConfigurator$workplaceAndMachineConfiguration;Maschinen + Arbeitsplätze
1;lbl$ffworkbench$workplaceConfigurator$machines;Maschinen
1;lbl$ffworkbench$workplaceConfigurator$columnHeaderAssignedMachine;Zugewiesene Maschine
1;lbl$ffworkbench$workplaceConfigurator$columnHeaderAssignedMalfunctionReasons;Zugewiesene Statusgründe
1;lbl$ffworkbench$workplaceConfigurator$columnHeaderAssignedQuantityReasons;Zugewiesene Qualitätsdetails
1;lbl$ffworkbench$workplaceConfigurator$columnHeaderAssignedUserFields;Zugewiesene Benutzerfelder
1;lbl$ffworkbench$workplaceConfigurator$columnHeaderBookingActivated;Verbuchung aktiv
1;lbl$ffworkbench$workplaceConfigurator$columnHeaderAssignedClampings;Zugewiesene Aufspannungen
1;lbl$ffworkbench$workplaceConfigurator$columnHeaderTargetSetuptimes;Sollrüstzeiten
1;lbl$ffworkbench$workplaceConfigurator$suffixForMultipleSelectedQuantityReasons;Qualitätsdetails
1;err$ffworkbench$workplaceConfigurator$noAssignedMachineToWorkplace;Arbeitsplatz '&1' hat keine zugewiesene Maschine.
1;err$ffworkbench$workplaceConfigurator$noAssignedErpKeyToWorkplace;Arbeitsplatz '&1' hat keinen zugewiesenen ERP Schlüssel.
1;err$ffworkbench$workplaceConfigurator$noAssignedErpKeyToMachine;Maschine '&1' hat keinen zugewiesenen ERP Schlüssel.
1;err$ffworkbench$workplaceConfigurator$noNameForMachineProvided;Es muss immer ein Name für eine Maschine angegeben werden!
1;err$ffworkbench$workplaceConfigurator$noNameForWorkplaceProvided;Es muss immer ein Name für einen Arbeitsplatz angegeben werden!
1;err$ffworkbench$workplaceConfigurator$invalidMalfunctionDetectFactor;Maschine '&1' hat ungültigen Faktor zur Störerkennung.
1;err$ffworkbench$workplaceConfigurator$machineAlreadyAssignedToWorkplace;Arbeitsplatz '&1' verwendet eine bereits zugewiesene Maschine.
1;err$ffworkbench$workplaceConfigurator$noAssignedMachineToWorkplaceDueToDeleteOfMachine;Durch Löschen der Maschine '&1' besitzt Arbeitsplatz '&2' keine zugewiesene Maschine mehr.
1;lbl$ffworkbench$workplaceConfigurator$userFields;Benutzerfelder
1;lbl$ffworkbench$workplaceConfigurator$userFieldsValueColumnHeaderText;Wert
1;lbl$ffworkbench$workplaceConfigurator$columnHeaderAssignedPersons;Zugewiesene Personen
1;lbl$ffworkbench$workplaceConfigurator$suffixForMultipleSelectedPersons; Personen
1;lbl$ffworkbench$workplaceConfigurator$columnHeaderAssignedForemans;Zugewiesene Vorarbeiter
1;lbl$ffworkbench$workplaceConfigurator$columnHeaderErpActivated;SAP-Upload aktiv
1;lbl$ffworkbench$workplaceConfigurator$clampings;Aufspannungen
1;lbl$ffworkbench$workplaceConfigurator$targetSetuptimeValues;Sollrüstzeiten
1;err$ffworkbench$workplaceConfigurator$noUniqueQuantityReasonCodes;Die eingegebenen Ausschusscodes sind nicht eindeutig.
1;err$ffworkbench$workplaceConfigurator$noBookingLogicDefined;Die Verbuchung ist aktiviert aber es wurde kein Buchungstyp für die Maschine(n) '&1' angegeben.
1;lbl$ffworkbench$erpdataConfigurator$erpData;ERP Schlüssel
1;lbl$ffworkbench$erpdataConfigurator$erpKeys;ERP Schlüssel
1;lbl$ffworkbench$erpdataConfigurator$personErpKeys;Personal ERP Schlüssel
1;err$ffworkbench$erpDataConfigurator$duplicateErpKey;ERP Schlüssel '&1' existiert bereits.
1;err$ffworkbench$erpDataConfigurator$missingErpKeyPart;In einem oder mehreren &1 fehlt ein Wert für '&2'
1;err$ffworkbench$erpdataConfigurator$erpKeyInUse;Der ERP Schlüssel '&1' wird von einem Arbeitsplatz verwendet. Daher kann er nicht gelöscht werden
1;err$ffworkbench$erpdataConfigurator$personalErpKeyInUse;Der Personal ERP Schlüssel '&1' wird von einem Personal verwendet. Daher kann er nicht gelöscht werden
1;title$ffworkbench$statusDefinitionConfigurator$statusDefinitions;Phasen/Status Definitionen
1;err$ffworkbench$statusDefinitionConfigurator$duplicateStatusDefinition;In '&1' existiert bereits eine Phasen/Status Definition mit Code=&2.
1;title$ffworkbench$quantityConfigurator$quantityDefinitions;Qualitätsmerkmale
1;err$ffworkbench$quantityConfigurator$duplicateOperationQtyTypeDefinition;Es existiert bereits ein AVO Qualitätsmerkmal mit Code '&1'.
1;lbl$ffworkbench$quantityConfigurator$operationQtyType;Qualitätsmerkmale
1;lbl$ffworkbench$quantityConfigurator$quantityReason;Qualitätsdetails
1;lbl$ffworkbench$quantityConfigurator$quantityReasonGroup;Qualitätsdetailgruppe
1;err$ffworkbench$quantityConfigurator$duplicateQuantityReasonGroupDefinition;Es existiert bereits die Qualitätsdetailgruppe '&1'.
1;err$ffworkbench$quantityConfigurator$groupNoAssignedQuantityType;Qualitätsdetailgruppe '&1' hat kein zugewiesenes Qualitätsmerkmal.
1;err$ffworkbench$quantityConfigurator$noAssignedQuantityType;Das Qualitätsdetail '&1' hat kein zugewiesenes Qualitätsmerkmal.
1;err$ffworkbench$quantityConfigurator$moreThanOneQuantityTypesSelected;Es kann nur ein Qualitätsmerkmal gewählt werden.
1;err$ffworkbench$quantityConfigurator$quantityWithCodeOneDeletion;Das Qualitätsmerkmal mit dem Code 1 kann nicht gelöscht werden.
1;err$ffworkbench$quantityConfigurator$quantityWithSomeQuantityReasonAssociation;Das AVO Qualitätsmerkmal '&1' kann nicht gelöscht werden, da es von einem Qualitätsdetail referenziert wird.
1;err$ffworkbench$quantityConfigurator$missingMnemonic;Ein Qualitätsdetail hat kein 'Kürzel'.
1;title$ffworkbench$quantityReason$popupDeleteQuantityReasonDependencies;Abhängigkeiten des Qualitätsdetails löschen
1;lbl$ffworkbench$quantityReason$popupYesNoDeleteQuantityReasonDependencies;Es bestehen noch Zuweisungen zu Arbeitsplätzen mit Id '&1'. Sollen die Abhängigkeiten beim Speichern mitgelöscht werden?
1;err$ffworkbench$quantityConfigurator$quantityReasonDelete;Ein Qualitätsdetail ist einem Qualitätsmerkmal zugeordnet
1;err$ffworkbench$quantityConfigurator$changeQuantityReasonForQuantityType;Das Qualitätsdetail '&1' ist dem Qualitätsmerkmal '&2' zugeordnet
1;title$ffworkbench$malfunctionReasonConfigurator$malfunctionReasons;Statusgründe
1;title$ffworkbench$malfunctionReasonConfigurator$malfunctionReasonLevels;Statusgrund-Ebenen
1;err$ffworkbench$malfunctionReasonConfigurator$duplicateMalfunctionReason;Es existiert bereits ein Statusgrund mit Code=&1.
1;title$ffworkbench$malfunctionReasonConfigurator$malfunctionReasonGroups;Statusgrund-Gruppen
1;err$ffworkbench$malfunctionReasonConfigurator$duplicateMalfunctionGroupDefinition;Es existiert bereits eine Statusgrund-Gruppe mit Code=&1.
1;lbl$ffworkbench$malfunctionReasonConfigurator$malfunctionGroup;Statusgrund-Gruppe
1;err$ffworkbench$malfunctionReasonConfigurator$invalidMalfunctionCode;Der Statusgrund-Code muss größer als 100000 sein.
1;lbl$ffworkbench$malfunctionReasonConfigurator$malfunctionReasonLevel;Statusgrund-Ebene
1;lbl$ffworkbench$malfunctionReasonConfigurator$malfunctionReasonRecodable;Umkodierbar
1;lbl$ffworkbench$malfunctionReasonConfigurator$malfunctionReasonSplittable;Teilbar
1;lbl$ffworkbench$malfunctionReasonConfigurator$malfunctionReasonAnnotatable;Annotierbar
1;err$ffworkbench$malfunctionReasonConfigurator$cannotDeleteMalfunctionReasonLevel1;Statusgrund-Ebene 1 darf nicht gelöscht werden
1;title$ffworkbench$timebaseConfigurator$timebases;Zeitbasen
1;err$ffworkbench$timebaseConfigurator$duplicateTimebase;Es existiert bereits eine Zeitbasis mit Kürzel=&1.
1;err$ffworkbench$timebaseConfigurator$missingMnemonic;Zeitbasis besitzt kein Kürzel.
1;err$ffworkbench$timebaseConfigurator$missingTimebaseEntries;Zeitbasis &1 besitzt keine Einträge.
1;title$ffworkbench$materialConfigurator$material;Stückzeiten
1;lbl$ffworkbench$materialConfigurator$materialTeb;Material-Teb
